user,ROI,sen2,cloud_per,cloud_coverage,label_type,difficulty,proj_centroid
JHOMIRA,ROI_0001,20200308T141731_20200308T143551_T19FDF,0.0,cloud-free,high,NA,POINT (-69.78524 -49.00794)
EDUARDO,ROI_0002,20190602T142041_20190602T142839_T19GDN,0.0,cloud-free,high,NA,POINT (-69.9609 -42.91051)
JHOMIRA,ROI_0004,20190414T143759_20190414T144503_T19KER,0.0,cloud-free,high,NA,POINT (-68.95441 -22.02112)
EDUARDO,ROI_0005,20200610T153631_20200610T154258_T17MNP,0.0,cloud-free,high,NA,POINT (-80.46388 -5.986082)
FERNANDO,ROI_0006,20190831T150729_20190831T151107_T18LWJ,0.0,cloud-free,high,NA,POINT (-74.97073 -15.11138)
JHOMIRA,ROI_0007,20190831T180919_20190831T181408_T11SQR,0.0,cloud-free,high,NA,POINT (-114.2358 31.89999)
FERNANDO,ROI_0009,20190513T180929_20190513T181344_T12SWH,0.0,cloud-free,high,NA,POINT (-110.4126 38.44681)
JHOMIRA,ROI_0010,20190907T112119_20190907T112853_T28QFG,0.0,cloud-free,high,NA,POINT (-13.56118 19.35426)
EDUARDO,ROI_0011,20190306T103019_20190306T103540_T31REP,0.0,cloud-free,high,NA,POINT (3.33978 30.47161)
FERNANDO,ROI_0012,20191217T091309_20191217T092124_T34RFV,0.0,cloud-free,high,NA,POINT (22.50001 31.0754)
JHOMIRA,ROI_0013,20190509T101039_20190509T102007_T32SLC,0.0,cloud-free,high,NA,POINT (7.86617 34.16611)
EDUARDO,ROI_0014,20190601T074611_20190601T075707_T37PCT,0.0,cloud-free,high,NA,POINT (37.5293 16.23103)
WENDY,ROI_0016,20191120T083241_20191120T083254_T36RUT,0.0,cloud-free,high,NA,POINT (31.75046 29.40327)
EDUARDO,ROI_0017,20190408T071619_20190408T072924_T38PQB,0.0,cloud-free,high,NA,POINT (47.28524 15.14122)
FERNANDO,ROI_0018,20181215T065251_20181215T065254_T40QCG,0.0,cloud-free,high,NA,POINT (55.72268 19.33477)
JHOMIRA,ROI_0019,20190220T072939_20190220T074111_T38RPR,0.0,cloud-free,high,NA,POINT (46.58423 27.97303)
EDUARDO,ROI_0020,20190313T074711_20190313T075536_T38SKE,0.0,cloud-free,high,NA,POINT (42.45123 35.17662)
FERNANDO,ROI_0021,20181030T081041_20181030T082011_T37SDU,0.0,cloud-free,high,NA,POINT (38.49609 34.60021)
JHOMIRA,ROI_0022,20190120T071221_20190120T071215_T39SXR,0.0,cloud-free,high,NA,POINT (52.51999 31.77719)
EDUARDO,ROI_0023,20200720T065631_20200720T070944_T40RBT,0.0,cloud-free,high,NA,POINT (54.84384 29.65612)
FERNANDO,ROI_0024,20190731T065629_20190731T070911_T40RBR,0.0,cloud-free,high,NA,POINT (54.3164 27.76877)
JHOMIRA,ROI_0025,20181223T061241_20181223T061242_T42SVA,0.0,cloud-free,high,NA,POINT (68.11525 32.33592)
EDUARDO,ROI_0026,20200509T052649_20200509T053704_T44SKB,0.0,cloud-free,high,NA,POINT (78.75001 32.48733)
FERNANDO,ROI_0027,20181221T053231_20181221T053356_T44SKH,0.0,cloud-free,high,NA,POINT (78.66211 38.42081)
JHOMIRA,ROI_0028,20190228T050739_20190228T051623_T45TUE,0.0,cloud-free,high,NA,POINT (85.25388 39.85151)
EDUARDO,ROI_0029,20190108T045151_20190108T045328_T46TBM,0.0,cloud-free,high,NA,POINT (90.61523 42.23613)
FERNANDO,ROI_0030,20190111T050151_20190111T050150_T46TCR,0.0,cloud-free,high,NA,POINT (91.7578 45.71142)
JHOMIRA,ROI_0031,20190330T041551_20190330T041549_T47TNK,0.0,cloud-free,high,NA,POINT (99.66806 44.65888)
EDUARDO,ROI_0032,20191110T032951_20191110T033139_T49TFH,0.0,cloud-free,high,NA,POINT (112.6758 43.07589)
FERNANDO,ROI_0033,20190120T035051_20190120T035439_T48TYR,0.0,cloud-free,high,NA,POINT (108.3691 45.40391)
JHOMIRA,ROI_0034,20190120T035051_20190120T035439_T48TWK,0.0,cloud-free,high,NA,POINT (106.2337 39.84782)
EDUARDO,ROI_0035,20200618T034539_20200618T035655_T48SVG,0.0,cloud-free,high,NA,POINT (104.6777 37.79884)
FERNANDO,ROI_0036,20190312T040709_20190312T040916_T47TPE,0.0,cloud-free,high,NA,POINT (100.7227 39.91898)
JHOMIRA,ROI_0037,20190221T042811_20190221T043725_T46SFG,0.0,cloud-free,high,NA,POINT (94.21883 37.10148)
FERNANDO,ROI_0039,20190214T071009_20190214T071007_T40TDM,0.0,cloud-free,high,NA,POINT (56.33795 42.04068)
JHOMIRA,ROI_0040,20200117T070219_20200117T070222_T40TGQ,0.0,cloud-free,high,NA,POINT (59.7656 44.8461)
EDUARDO,ROI_0041,20181217T064259_20181217T064613_T41TME,0.0,cloud-free,high,NA,POINT (62.57806 39.85154)
EDUARDO,ROI_0044,20200106T100401_20200106T100404_T32QMM,0.0,cloud-free,high,NA,POINT (8.437507 24.21942)
FERNANDO,ROI_0045,20191208T111441_20191208T112152_T29RML,0.0,cloud-free,high,NA,POINT (-9.49223 27.30411)
JHOMIRA,ROI_0046,20190514T182921_20190514T184336_T11SNA,0.0,cloud-free,high,NA,POINT (-116.7408 36.37167)
EDUARDO,ROI_0047,20200728T184919_20200728T184920_T11UNU,0.0,cloud-free,high,NA,POINT (-116.9385 52.37792)
FERNANDO,ROI_0048,20190524T143759_20190524T144506_T19KEP,0.0,cloud-free,high,NA,POINT (-68.68653 -24.35661)
JHOMIRA,ROI_0049,20190418T142049_20190418T143006_T19GCK,0.0,cloud-free,high,NA,POINT (-70.44424 -45.57952)
EDUARDO,ROI_0050,20190421T081611_20190421T083908_T34JEL,0.0,cloud-free,high,NA,POINT (21.36345 -31.00556)
FERNANDO,ROI_0051,20190220T081951_20190220T083946_T34JCP,0.0,cloud-free,high,NA,POINT (19.32327 -28.58444)
EDUARDO,ROI_0053,20190619T084601_20190619T091421_T33KWP,0.0,cloud-free,high,NA,POINT (15.24904 -23.71698)
FERNANDO,ROI_0054,20200711T085559_20200711T092554_T33KTU,0.0,cloud-free,high,NA,POINT (12.96388 -19.3883)
JHOMIRA,ROI_0055,20190319T090019_20190319T091418_T32KRF,0.0,cloud-free,high,NA,POINT (12.26074 -17.346)
EDUARDO,ROI_0056,20190303T065809_20190303T070828_T39PTK,0.0,cloud-free,high,NA,POINT (48.48936 8.559871)
FERNANDO,ROI_0057,20190211T070019_20190211T070941_T39PVM,0.0,cloud-free,high,NA,POINT (50.53708 10.25439)
JHOMIRA,ROI_0058,20200606T071621_20200606T073226_T38PNS,0.0,cloud-free,high,NA,POINT (45.52726 10.34084)
EDUARDO,ROI_0059,20190111T073259_20190111T074419_T37PHP,0.0,cloud-free,high,NA,POINT (42.03369 11.82769)
FERNANDO,ROI_0060,20190104T074319_20190104T075257_T37PFR,0.0,cloud-free,high,NA,POINT (40.51763 14.35147)
JHOMIRA,ROI_0061,20190224T013711_20190224T014309_T52KDA,0.0,cloud-free,high,NA,POINT (128.9355 -22.36424)
FERNANDO,ROI_0063,20181226T004659_20181226T004702_T53HQE,0.0,cloud-free,high,NA,POINT (137.5477 -31.87404)
JHOMIRA,ROI_0064,20190622T014709_20190622T015123_T51JVH,0.0,cloud-free,high,NA,POINT (122.3218 -29.0537)
EDUARDO,ROI_0065,20190101T142749_20190101T143756_T19HCA,0.0,cloud-free,high,NA,POINT (-70.53223 -35.52499)
FERNANDO,ROI_0066,20200724T142739_20200724T143750_T19HDE,0.0,cloud-free,high,NA,POINT (-69.65331 -32.17008)
EDUARDO,ROI_0068,20190414T143759_20190414T144503_T19KFR,0.0,cloud-free,high,NA,POINT (-67.23634 -22.34389)
FERNANDO,ROI_0069,20200510T151659_20200510T152614_T18LTM,0.0,cloud-free,high,NA,POINT (-76.87133 -11.97261)
JHOMIRA,ROI_0070,20190310T152639_20190310T153038_T17LRJ,0.0,cloud-free,high,NA,POINT (-77.94801 -10.17319)
EDUARDO,ROI_0071,20190509T152649_20190509T152958_T17LQL,0.0,cloud-free,high,NA,POINT (-78.56318 -8.741905)
FERNANDO,ROI_0072,20190317T151659_20190317T151944_T18LVJ,0.0,cloud-free,high,NA,POINT (-75.79466 -14.59096)
JHOMIRA,ROI_0073,20200512T150731_20200512T150841_T18LXH,0.0,cloud-free,high,NA,POINT (-73.34471 -15.99841)
FERNANDO,ROI_0075,20181213T144721_20181213T144722_T19KDV,0.0,cloud-free,high,NA,POINT (-69.74124 -18.74663)
JHOMIRA,ROI_0079,20190120T203751_20190120T203749_T08VMM,0.0,cloud-free,high,NA,POINT (-135.3954 59.91216)
EDUARDO,ROI_0080,20190828T193909_20190828T193906_T09UWV,0.0,cloud-free,high,NA,POINT (-128.1006 53.78894)
JHOMIRA,ROI_0082,20190526T190921_20190526T191643_T10UDB,0.0,cloud-free,high,NA,POINT (-123.8269 51.06353)
EDUARDO,ROI_0083,20200714T190919_20200714T191949_T10UEA,0.0,cloud-free,high,NA,POINT (-121.9373 50.13656)
FERNANDO,ROI_0084,20190722T180929_20190722T181308_T12TXQ,0.0,cloud-free,high,NA,POINT (-109.6846 45.08654)
JHOMIRA,ROI_0085,20200602T182919_20200602T183556_T11TPJ,0.0,cloud-free,high,NA,POINT (-115.0708 43.99453)
EDUARDO,ROI_0086,20200716T180919_20200716T181939_T12TXP,0.0,cloud-free,high,NA,POINT (-109.3799 43.91551)
FERNANDO,ROI_0087,20190317T182109_20190317T182716_T11SNU,0.0,cloud-free,high,NA,POINT (-115.9717 34.4576)
JHOMIRA,ROI_0088,20190930T104021_20190930T104936_T30QWG,0.0,cloud-free,high,NA,POINT (-2.812484 19.67642)
JHOMIRA,ROI_0091,20190112T084319_20190112T084655_T35QLU,0.0,cloud-free,high,NA,POINT (25.83984 16.33555)
EDUARDO,ROI_0092,20181218T070301_20181218T070301_T39QVB,0.0,cloud-free,high,NA,POINT (50.71286 19.74307)
FERNANDO,ROI_0093,20190419T064629_20190419T065832_T40SEC,0.0,cloud-free,high,NA,POINT (57.30473 34.16971)
JHOMIRA,ROI_0094,20190317T142751_20190317T143036_T19KHT,0.0,cloud-free,high,NA,POINT (-65.97578 -20.71108)
FERNANDO,ROI_0096,20181222T142749_20181222T143754_T19KHP,0.0,cloud-free,high,NA,POINT (-65.83007 -23.71917)
JHOMIRA,ROI_0097,20181227T142751_20181227T143741_T19JFK,0.0,cloud-free,high,NA,POINT (-67.80762 -27.97012)
EDUARDO,ROI_0098,20190516T142801_20190516T143512_T19HDC,0.0,cloud-free,high,NA,POINT (-69.56545 -34.10349)
FERNANDO,ROI_0099,20190503T142041_20190503T142841_T19GER,0.0,cloud-free,high,NA,POINT (-68.55475 -40.59473)
JHOMIRA,ROI_0100,20190117T140051_20190117T141300_T19GGM,0.0,cloud-free,high,NA,POINT (-65.98395 -43.7208)
CESAR,ROI_0101,20190718T143751_20190718T144610_T19JCK,0.0,cloud-free,high,NA,POINT (-70.4224 -27.7255)
JHOMIRA,ROI_0103,20200526T144731_20200526T145503_T19KCA,0.0,cloud-free,high,NA,POINT (-70.6201 -17.93919)
EDUARDO,ROI_0104,20190405T145731_20190405T145751_T18KYG,0.0,cloud-free,high,NA,POINT (-72.33395 -16.60621)
FERNANDO,ROI_0105,20191005T150721_20191005T151109_T18LWH,0.0,cloud-free,high,NA,POINT (-74.34449 -15.6242)
JHOMIRA,ROI_0106,20190509T152649_20190509T152958_T18LTN,0.0,cloud-free,high,NA,POINT (-77.19606 -11.37143)
EDUARDO,ROI_0107,20200722T152639_20200722T153455_T17LQK,0.0,cloud-free,high,NA,POINT (-78.29963 -9.1684)
FERNANDO,ROI_0108,20191020T113319_20191020T113845_T28QEL,0.0,cloud-free,high,NA,POINT (-14.23825 22.82858)
JHOMIRA,ROI_0109,20180101T091351_20180101T091755_T34RFU,0.0,cloud-free,high,NA,POINT (22.23633 30.67084)
EDUARDO,ROI_0110,20190109T101409_20190109T101406_T32SKB,0.0,cloud-free,high,NA,POINT (6.503896 32.46862)
FERNANDO,ROI_0111,20180313T083731_20180313T085057_T35RPN,0.0,cloud-free,high,NA,POINT (28.65227 29.14659)
EDUARDO,ROI_0113,20190120T080239_20190120T080536_T37SFT,0.0,cloud-free,high,NA,POINT (41.21605 33.77941)
FERNANDO,ROI_0114,20190211T075041_20190211T075528_T38RLU,0.0,cloud-free,high,NA,POINT (43.68155 30.69213)
JHOMIRA,ROI_0115,20180202T081241_20180202T081331_T37SDT,0.0,cloud-free,high,NA,POINT (38.21043 33.94217)
EDUARDO,ROI_0116,20190121T064201_20190121T064159_T40RGP,0.0,cloud-free,high,NA,POINT (59.25599 26.02881)
